Volcano_ID,Volcano_Name,Volcano_Image,Volcano_Type,Country,epoch_period,Latitude,Longitude
540,Datong-Fengzen,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,China,pleistocene,40°N,113.28°E
541,Daun  Bukit,https://volcano.si.edu/gallery/photos/GVP-12601.jpg,Stratovolcano(es),Indonesia,holocene,3.38°S,102.37°E
542,Davidof,https://volcano.si.edu/gallery/photos/GVP-09484.jpg,Stratovolcano,United States,holocene,51.97°N,178.33°E
543,Davis Lake,https://volcano.si.edu/gallery/photos/GVP-03130.jpg,Volcanic field,United States,holocene,43.57°N,121.82°W
544,Dawa Ale-Quarry,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,pleistocene,12.75°N,41°E
545,Dawson Strait Group,https://volcano.si.edu/gallery/photos/GVP-11525.jpg,Volcanic field,Papua New Guinea,holocene,9.62°S,150.88°E
546,Deception Island,https://volcano.si.edu/gallery/photos/GVP-06201.jpg,Caldera,Antarctica,holocene,63.001°S,60.652°W
547,Ded i Baba,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,pleistocene,51.3°N,156.58°E
548,Defiance,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,pleistocene,45.649°N,121.723°W
549,Dehaj-Meduk,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Iran,pleistocene,30.33°N,55.5°E
550,Dempo,https://volcano.si.edu/gallery/photos/GVP-01023.jpg,Stratovolcano(es),Indonesia,holocene,4.016°S,103.121°E
551,Denison,https://volcano.si.edu/gallery/photos/GVP-09504.jpg,Stratovolcano,United States,holocene,58.418°N,154.449°W
552,Descabezado Grande,https://volcano.si.edu/gallery/photos/GVP-04844.jpg,Stratovolcano(es),Chile,holocene,35.58°S,70.75°W
553,Deslinde,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,pleistocene,22.27°S,67.97°W
554,Devils Desk,https://volcano.si.edu/gallery/photos/GVP-08535.jpg,Stratovolcano,United States,pleistocene,58.474°N,154.306°W
555,Devils Garden,https://volcano.si.edu/gallery/photos/GVP-08854.jpg,Volcanic field,United States,holocene,43.512°N,120.861°W
556,Dgida Basin,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Russia,pleistocene,50.52°N,103.25°E
557,Dhamar  Harras of,https://volcano.si.edu/gallery/photos/GVP-12585.jpg,Volcanic field,Yemen,holocene,14.57°N,44.67°E
558,Diables  Morne aux,https://volcano.si.edu/gallery/photos/GVP-09433.jpg,Lava dome(s),Dominica,holocene,15.612°N,61.43°W
559,Diablotins  Morne,https://volcano.si.edu/gallery/photos/GVP-10094.jpg,Stratovolcano,Dominica,holocene,15.503°N,61.397°W
560,Diamond Craters,https://volcano.si.edu/gallery/photos/GVP-10299.jpg,Volcanic field,United States,holocene,43.1°N,118.75°W
561,Diamond Peak,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,pleistocene,43.521°N,122.148°W
562,Didicas,https://volcano.si.edu/gallery/photos/GVP-11935.jpg,Compound,Philippines,holocene,19.077°N,122.202°E
563,Didolli,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Ethiopia,pleistocene,12.7°N,41.58°E
564,Dieng Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-01074.jpg,Complex,Indonesia,holocene,7.2°S,109.879°E
565,Diky Greben,https://volcano.si.edu/gallery/photos/GVP-05727.jpg,Lava dome(s),Russia,holocene,51.452°N,156.978°E
566,Dilo-Dukana Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-12233.jpg,Volcanic field,Ethiopia,pleistocene,4.063°N,37.488°E
567,Discovery,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Antarctica,pleistocene,78.374°S,165.015°E
568,Ditmara,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,pleistocene,53.87°N,159.53°E
569,Dittmar,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,pleistocene,40.453°N,121.347°W
570,Dofan,https://volcano.si.edu/gallery/photos/GVP-11218.jpg,Shield,Ethiopia,holocene,9.35°N,40.13°E
571,Doma Peaks,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,pleistocene,5.9°S,143.15°E
572,Domuyo,https://volcano.si.edu/gallery/photos/GVP-11438.jpg,Stratovolcano,Argentina,pleistocene,36.638°S,70.432°W
573,Don Joao de Castro Bank,https://volcano.si.edu/gallery/photos/GVP-11106.jpg,Submarine,Portugal,holocene,38.23°N,26.63°W
574,Dona Juana,https://volcano.si.edu/gallery/photos/GVP-12653.jpg,Stratovolcano,Colombia,holocene,1.5°N,76.936°W
575,Dorobu,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Japan,pleistocene,36.898°N,139.579°E
576,Dos Hermanos,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Dominican Republic,pleistocene,18.75°N,70.92°W
577,Dotsero,https://volcano.si.edu/gallery/photos/GVP-08166.jpg,Maar,United States,holocene,39.661°N,107.035°W
578,Double Glacier,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),United States,pleistocene,60.68°N,152.62°W
579,Douglas,https://volcano.si.edu/gallery/photos/GVP-05301.jpg,Stratovolcano,United States,holocene,58.855°N,153.542°W
580,Doyo Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,holocene,27.68°N,140.8°E
581,Drum,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,United States,pleistocene,62.12°N,144.63°W
582,Duau,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,pleistocene,6.92°S,144.58°E
583,Dubbi,https://volcano.si.edu/gallery/photos/GVP-08975.jpg,Stratovolcano,Eritrea,holocene,13.579°N,41.809°E
584,Dugong,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Tonga,holocene,15.431°S,175.725°W
585,Duguna,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,pleistocene,6.95°N,38.07°E
586,Dukono,https://volcano.si.edu/gallery/photos/GVP-01741.jpg,Complex,Indonesia,holocene,1.693°N,127.894°E
587,Duncan Canal,https://volcano.si.edu/gallery/photos/GVP-09451.jpg,Volcanic field,United States,holocene,56.5°N,133.1°W
588,Dunhua,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,China,pleistocene,43.163°N,127.939°E
589,Durango Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-03648.jpg,Pyroclastic cone(s),Mexico,holocene,24.15°N,104.45°W
590,Durbulzhi-Ula,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Mongolia,pleistocene,42.8°N,102.08°E
591,Durika,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Costa Rica,pleistocene,9.374°N,83.302°W
592,Dutton,https://volcano.si.edu/gallery/photos/GVP-08558.jpg,Stratovolcano,United States,holocene,55.183°N,162.276°W
593,Dvukhyurtochny,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,pleistocene,56.82°N,159.88°E
594,Dzau,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent,Georgia,pleistocene,42.404°N,44.004°E
595,Dzenzursky,https://volcano.si.edu/gallery/photos/GVP-05817.jpg,Compound,Russia,holocene,53.637°N,158.922°E
596,Eagle Lake Field,https://volcano.si.edu/gallery/photos/GVP-06656.jpg,Fissure vent(s),United States,pleistocene,40.63°N,120.83°W
597,East Blanco Depression,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,holocene,44.267°N,129.879°W
598,East Chamo Basin,https://volcano.si.edu/gallery/photos/GVP-12578.jpg,Pyroclastic cone(s),Ethiopia,holocene,5.708°N,37.713°E
599,East Diamante,https://volcano.si.edu/gallery/photos/GVP-11862.jpg,Submarine,United States,holocene,15.93°N,145.67°E
600,East Eifel Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Maar(s),Germany,pleistocene,50.4°N,7.325°E
601,East Gakkel Ridge at 85°E,https://volcano.si.edu/gallery/photos/GVP-12172.jpg,Submarine,Undersea Features,holocene,85.608°N,85.25°E
602,East Molokai,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,pleistocene,21.12°N,156.87°W
603,East Neh,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Iran,pleistocene,31.333°N,60.126°E
604,East Tanna Volcano,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Vanuatu,pleistocene,19.42°S,169.45°E
605,East Ziway,https://volcano.si.edu/gallery/photos/GVP-11521.jpg,Fissure vent(s),Ethiopia,holocene,7.874°N,38.902°E
606,Eastern Gemini Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,France,holocene,20.98°S,170.28°E
607,Ebeko,https://volcano.si.edu/gallery/photos/GVP-02271.jpg,Stratovolcano,Russia,holocene,50.686°N,156.014°E
608,Eboshi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,36.43°N,138.39°E
609,Eboshi-Washigatake,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,pleistocene,35.937°N,136.974°E
610,Ebulobo,https://volcano.si.edu/gallery/photos/GVP-01214.jpg,Stratovolcano,Indonesia,holocene,8.817°S,121.191°E
611,Eburru  Ol Doinyo,https://volcano.si.edu/gallery/photos/GVP-11159.jpg,Complex,Kenya,holocene,0.65°S,36.22°E
612,Ecuador,https://volcano.si.edu/gallery/photos/GVP-11652.jpg,Shield,Ecuador,holocene,0.02°S,91.546°W
613,Edgecumbe,https://volcano.si.edu/gallery/photos/GVP-09652.jpg,Stratovolcano(es),United States,holocene,57.05°N,135.75°W
614,Edziza,https://volcano.si.edu/gallery/photos/GVP-10155.jpg,Stratovolcano,Canada,holocene,57.72°N,130.63°W
615,Egersuwa,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Ethiopia,pleistocene,12.45°N,42.166°E
616,Eggella,https://volcano.si.edu/gallery/photos/GVP-12628.jpg,Shield,Russia,pleistocene,56.57°N,158.52°E
617,Egon,https://volcano.si.edu/gallery/photos/GVP-12025.jpg,Stratovolcano,Indonesia,holocene,8.676°S,122.455°E
618,Eifuku,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,United States,pleistocene,21.409°N,144.161°E
619,Ekarma,https://volcano.si.edu/gallery/photos/GVP-12170.jpg,Stratovolcano,Russia,holocene,48.958°N,153.93°E
620,Ela,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,pleistocene,12.519°N,41.19°E
621,Elbrus,https://volcano.si.edu/gallery/photos/GVP-10277.jpg,Stratovolcano,Russia,holocene,43.351°N,42.442°E
622,Eldey,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Iceland,holocene,63.733°N,23°W
623,Elmenteita Badlands,https://volcano.si.edu/gallery/photos/GVP-11158.jpg,Pyroclastic cone(s),Kenya,holocene,0.52°S,36.27°E
624,Elovsky,https://volcano.si.edu/gallery/photos/GVP-11782.jpg,Shield(s),Russia,holocene,57.55°N,160.53°E
625,Emae,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Vanuatu,pleistocene,17.063°S,168.381°E
626,Embagai,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tanzania,pleistocene,2.92°S,35.83°E
627,Emmons Lake,https://volcano.si.edu/gallery/photos/GVP-05366.jpg,Caldera,United States,holocene,55.341°N,162.073°W
628,Emperor Range,https://volcano.si.edu/includes/images/noimage.jpg,Caldera(s),Papua New Guinea,pleistocene,5.7°S,154.95°E
629,Emuruangogolak,https://volcano.si.edu/gallery/photos/GVP-10040.jpg,Shield,Kenya,holocene,1.5°N,36.33°E
630,Endeavour Segment,https://volcano.si.edu/gallery/photos/GVP-11884.jpg,Submarine,Canada,holocene,47.95°N,129.1°W
631,Endut,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,pleistocene,6.62°S,106.37°E
632,Epi,https://volcano.si.edu/gallery/photos/GVP-11036.jpg,Stratovolcano(es),Vanuatu,holocene,16.68°S,168.37°E
633,Erciyes Dagi,https://volcano.si.edu/gallery/photos/GVP-01574.jpg,Stratovolcano,Turkey,holocene,38.531°N,35.447°E
